Date,Close,Volume,Open,High,Low
01/07/2022,$35.155,48549240,$39.9425,$40.0775,$33.125
01/06/2022,$32.7575,24205920,$33.21,$34.425,$30.285
01/05/2022,$32.3425,13585600,$37.0975,$37.2125,$32.2875
01/04/2022,$37.2275,7339576,$38.0425,$38.2475,$35.7625
01/03/2022,$38.21,5668004,$37.3075,$39.845,$37.3025
12/31/2021,$37.0975,5575856,$38.405,$39.1825,$37.025
12/30/2021,$38.8325,6247528,$37.75,$40,$37.5
12/29/2021,$38.4825,8149624,$36.9625,$38.8725,$35.535
12/28/2021,$36.615,5337888,$36.875,$39.3525,$36.6025
12/27/2021,$37.0775,6461796,$38,$38.1553,$35
12/23/2021,$38.035,4222156,$38.5,$38.75,$36.505
12/22/2021,$38.5,4188616,$39.5825,$39.7886,$38.03
12/21/2021,$39.53,5720952,$39.265,$40.0625,$38.785
12/20/2021,$39.285,7314244,$38.2975,$39.92,$37.425
12/17/2021,$38.91,17246480,$35.9375,$39.6414,$34.8327
12/16/2021,$36.1475,8659048,$38.2325,$38.61,$35.5325
12/15/2021,$37.1475,11063968,$36.865,$38,$35.28
12/14/2021,$36.9225,26048532,$32.75,$37.5934,$32.375
12/13/2021,$34.22,21944804,$40.0825,$40.2225,$33.7675
12/10/2021,$39.7525,18107440,$39.9575,$40.575,$37
12/09/2021,$38.94,20337360,$41.75,$43.1725,$37.75
12/08/2021,$43.4125,10444780,$44.15,$45.0625,$42.99
12/07/2021,$44.4525,7889580,$43.795,$45.495,$42.6275
12/06/2021,$41.78,8914544,$41.5,$43.335,$40.8
12/03/2021,$43.0975,16386752,$45.25,$45.9825,$39.7625
12/02/2021,$45.39,8348400,$46.25,$46.8575,$43.2675
12/01/2021,$44.96,9422140,$49.85,$50.0262,$44.2525
11/30/2021,$49.0525,6895796,$50.025,$50.9865,$47
11/29/2021,$50.5025,4435376,$51,$51.9775,$50.235
11/26/2021,$49.93,4941108,$52.02,$52.9325,$49.8
11/24/2021,$52.945,5237552,$54.3125,$55.9975,$52
11/23/2021,$53.475,13406544,$60.96,$63.05,$53.14
11/22/2021,$61.8875,17518416,$57.615,$62.41,$57.4363
11/19/2021,$57.2,12174880,$52.285,$57.3475,$52.0631
11/18/2021,$52.53,4023100,$52.5625,$53.7844,$51.875
11/17/2021,$52.5,5410856,$51.575,$54.425,$51.5
11/16/2021,$51.795,4858384,$52.255,$53.1425,$50.9063
11/15/2021,$52.285,5865696,$50.965,$52.875,$50.4225
11/12/2021,$50.525,3711964,$50.535,$51.34,$49.47
11/11/2021,$51.08,4317604,$50,$52.0225,$49.5375
11/10/2021,$49.7975,5237556,$50.53,$51.8475,$49.125
11/09/2021,$51.65,7381192,$55.5,$55.8725,$51.11
11/08/2021,$54.66,8631648,$53.125,$56.26,$53.0025
11/05/2021,$53.3125,7242868,$55.16,$55.25,$52.2525
11/04/2021,$54.46,11631904,$55.5,$57.2425,$52.8875
11/03/2021,$54.5825,45062360,$53.5,$63.9225,$52.0625
11/02/2021,$51.7475,15529344,$49.8375,$52.9845,$47.9225
11/01/2021,$50.0225,19776812,$45.6325,$52.1425,$45.5125
10/29/2021,$45.8775,9175880,$45.7025,$46.4375,$44.5
10/28/2021,$45.7125,6784824,$43.79,$45.785,$43.75
10/27/2021,$43.3775,4427992,$45,$45.7725,$43.0825
10/26/2021,$44.46,8706996,$43.34,$46.25,$43.125
10/25/2021,$43.4925,5771224,$42.355,$43.7,$41.815
10/22/2021,$42.45,11201772,$44.525,$44.8725,$41.95
10/21/2021,$45.4275,9609472,$46.1775,$47.675,$45.15
10/20/2021,$46.13,9107612,$46.5825,$47,$45.495
10/19/2021,$46.6975,8282472,$47.2475,$48.045,$46.1
10/18/2021,$46.505,6358592,$45.735,$47.4675,$45.6363
10/15/2021,$45.82,4799908,$46,$46.745,$45.22
10/14/2021,$45.9575,6704032,$45.94,$47.55,$45.65
10/13/2021,$46.015,7720956,$44.575,$47.0525,$44
10/12/2021,$43.955,4934608,$45.125,$45.445,$43.45
10/11/2021,$44.525,10739420,$43.25,$47.1225,$43.25
10/08/2021,$43.17,3272828,$43.125,$43.93,$42.78
10/07/2021,$43.03,4637304,$43,$43.8,$42.6352
10/06/2021,$42.7675,4801280,$42.515,$43.24,$41.4525
10/05/2021,$43.045,5263416,$42.7975,$43.2925,$41.675
10/04/2021,$42.84,4782952,$43.9875,$44.2375,$42.6927
10/01/2021,$44.2275,6204556,$44.85,$44.8725,$43.0625
09/30/2021,$43.8675,12709812,$43.75,$46.3625,$41.6975
09/29/2021,$43.98,7599732,$45.0225,$46.12,$43.6525
09/28/2021,$44.65,7081972,$47,$47.7025,$44.5
09/27/2021,$47.37,5880584,$46.48,$48.0125,$46.4675
09/24/2021,$46.29,6743036,$47.75,$47.9288,$46.0275
09/23/2021,$47.81,6729036,$48.0825,$48.9375,$47.65
09/22/2021,$47.535,9026372,$47.41,$48.375,$46.5725
09/21/2021,$47.4875,10535308,$49.84,$49.84,$46.5
09/20/2021,$48.05,15767208,$50,$50.7125,$46.1375
09/17/2021,$51.2425,15802572,$52.005,$53.1225,$50.195
09/16/2021,$51.5925,12232868,$50.5825,$54.1375,$50.2875
09/15/2021,$51.13,9241628,$49.25,$51.2175,$48.4378
09/14/2021,$49.81,8566524,$50.1625,$51.155,$48.75
09/13/2021,$50.85,17336272,$48.4375,$52.22,$47.875
09/10/2021,$47.6025,12170592,$49.602,$50.54,$47.5
09/09/2021,$49.795,30045832,$45.0213,$50.5,$44.5
09/08/2021,$49.7,20694264,$50.465,$51.72,$47.669
09/07/2021,$49.75,10004712,$51.5625,$52.475,$49.025
09/03/2021,$50.6875,10656020,$53.0125,$54.0675,$49.71
09/02/2021,$53.38,7422472,$53.465,$53.7,$51.575
09/01/2021,$53.2425,17815128,$56,$57.8597,$52.005
08/31/2021,$54.56,14298748,$53.175,$55.575,$52.865
08/30/2021,$52.3,13238336,$51.25,$54.5475,$50.755
08/27/2021,$51.2375,12923216,$51.925,$53.25,$50.005
08/26/2021,$51.305,24954588,$50.17,$54.25,$49.75
08/25/2021,$49.9125,51444240,$51.6625,$56.75,$48.25
08/24/2021,$52.5725,58608840,$41.5725,$56.25,$41.2875
08/23/2021,$41.2225,5372128,$40.595,$41.8225,$39.8875
08/20/2021,$39.825,4619432,$38.45,$40.0225,$38.31
08/19/2021,$38.225,4786192,$39.1925,$39.4975,$37.695
08/18/2021,$39.2625,5647368,$40.8125,$41.4,$39.1875
08/17/2021,$40.8875,4863752,$40.2975,$42.37,$40.275
08/16/2021,$40.9825,6299508,$40.25,$42.47,$39.79
08/13/2021,$40.63,4059004,$40.1175,$40.8875,$39.3525
08/12/2021,$40.5875,5279328,$39.97,$41.07,$39.3325
08/11/2021,$39.695,3781712,$39.6075,$39.7625,$38.655
08/10/2021,$39.7625,6493336,$40.34,$41.725,$38.838
08/09/2021,$40.2825,8996816,$37.95,$41.1775,$37.665
08/06/2021,$37.9425,5410756,$38.6475,$39.125,$37.5775
08/05/2021,$38.36,9648492,$37,$39.4,$36.305
08/04/2021,$36.7,9573936,$38.1825,$39.4475,$36.4228
08/03/2021,$38.1875,57802480,$39.185,$39.7225,$37.05
08/02/2021,$39.4125,10131724,$40.5,$40.8975,$38.765
07/30/2021,$40.28,9508472,$41.25,$41.805,$39.7175
07/29/2021,$41.215,8959980,$42.65,$43.4725,$41.1275
07/28/2021,$42.28,16403380,$43.93,$44.28,$41.0675
07/27/2021,$44.635,4859100,$45.75,$46.25,$44.165
07/26/2021,$45.985,5042372,$45.09,$46.51,$44.69
07/23/2021,$45.09,5264672,$45.25,$45.4,$43.46
07/22/2021,$44.7125,5651952,$46.325,$46.9225,$44.0375
07/21/2021,$46.4525,8916736,$46.9475,$48.8775,$45.5275
07/20/2021,$47.795,12404360,$43.475,$48.41,$43.105
07/19/2021,$43.3725,9747736,$40.825,$44,$40.305
07/16/2021,$42.26,13151716,$42.5375,$44.8675,$41.575
07/15/2021,$41.705,17194356,$40,$42.9975,$39.5025
07/14/2021,$41.905,15655080,$45.1225,$45.595,$41.2675
07/13/2021,$45.015,9591776,$46.92,$47.1975,$44.75
07/12/2021,$47.3125,6545296,$47.855,$49.4375,$46.855
07/09/2021,$47.8075,6331700,$47.72,$48.695,$46.6875
07/08/2021,$47.845,11430056,$44.9575,$48.555,$44.875
07/07/2021,$47.665,16958000,$49,$49.375,$44.39
07/06/2021,$49.89,11072248,$51,$51.1925,$48.4275
07/02/2021,$50.7075,10410916,$51.2,$51.3625,$49.125
07/01/2021,$51.09,10968448,$53.35,$54.2075,$50.5
06/30/2021,$53.535,10158592,$52.4225,$53.8197,$51.7345
06/29/2021,$52.72,9920036,$53.3975,$53.805,$52.0025
06/28/2021,$53.3125,19517456,$52.8125,$56.1125,$52.55
06/25/2021,$52.3775,50771000,$53.5,$53.55,$49.625
06/24/2021,$53.0775,15453356,$55.289,$56.8625,$52.9
06/23/2021,$54.835,14220360,$55.3625,$55.6425,$53.53
06/22/2021,$55.1,32800708,$54.4325,$56.47,$52.2925
06/21/2021,$50.0925,20480744,$54.2375,$54.6,$49.25
06/18/2021,$53.455,17281268,$55.045,$55.8725,$53.25
06/17/2021,$55.8975,18434292,$56,$58.415,$55.37
06/16/2021,$55.7425,22259308,$53.81,$57.1826,$52.25
06/15/2021,$55.625,29207740,$56.59,$57.3125,$52
06/14/2021,$57.36,28530508,$59.125,$59.5025,$54.8
06/11/2021,$58.335,62323080,$55.5875,$60.2825,$51.5325
06/10/2021,$55.0975,91920600,$70.5,$72,$52.75
06/09/2021,$75.64,53717240,$75.78,$82,$72.8775
06/08/2021,$75,69756480,$73,$86.165,$70.25
06/07/2021,$70.0025,24205960,$64.5,$70.5,$63.8
06/04/2021,$62.09,14550060,$64.005,$66.25,$61.4425
06/03/2021,$64.545,31999820,$66.4275,$68.6075,$60.5301
06/02/2021,$70.56,64076880,$62.22,$73.5,$61.075
06/01/2021,$62.255,38502440,$58.37,$63.745,$56.7675
05/28/2021,$55.5,47005480,$65.7425,$67.2,$55.3575
05/27/2021,$63.5325,62105200,$57.45,$66,$56.75
05/26/2021,$60.64,84479480,$57.25,$62.1199,$56.3875
05/25/2021,$52.3575,59549840,$45.25,$54.2775,$45.25
05/24/2021,$45.0025,18657392,$43.9625,$47.1144,$43.3375
05/21/2021,$44.1975,14618732,$42.75,$44.81,$42.5825
05/20/2021,$42.6225,9912672,$42.6975,$43.7275,$41.725
05/19/2021,$42.2075,19303620,$42.9975,$44.745,$41.0375
05/18/2021,$45.1675,30954868,$43.635,$47.3,$42.0675
05/17/2021,$45.15,29491052,$39.9625,$45.625,$39.75
05/14/2021,$39.98,17174120,$40,$41.6175,$39.055
05/13/2021,$41.125,35493948,$36.86,$42.4875,$36.6075
05/12/2021,$36.1975,10926040,$36.425,$37.625,$35.5577
05/11/2021,$36.73,18738336,$34.25,$37.625,$34.125
05/10/2021,$35.805,19226740,$40.3275,$40.3963,$35.75
05/07/2021,$40.2775,11738496,$40.0275,$41.8525,$39.375
05/06/2021,$40.2525,11771208,$40.215,$41.18,$38.9
05/05/2021,$39.87,7156744,$40.4575,$41.375,$39.5825
05/04/2021,$40.1825,16030048,$39.75,$40.3725,$37.95
05/03/2021,$40.55,21044076,$44.3725,$44.3725,$39.9025
04/30/2021,$43.3975,17734260,$43.75,$45.95,$43.175
04/29/2021,$44.0475,15041000,$44.14,$45.215,$42.6875
04/28/2021,$44.645,23155752,$43.025,$45.495,$41.507
04/27/2021,$44.4425,35730872,$45.8875,$47,$43.2925
04/26/2021,$42.2325,42128440,$37.745,$43.6699,$37.19
04/23/2021,$37.795,16168228,$37.25,$38.4149,$36.175
04/22/2021,$37.7925,17383236,$39.775,$39.775,$36.715
04/21/2021,$39.6275,15251380,$39.6,$40.745,$38.98
04/20/2021,$39.6325,18634432,$41.035,$41.2225,$38.34
04/19/2021,$41.0925,42080840,$42.95,$43.8,$40.5825
04/16/2021,$38.6725,20858840,$39,$40.0492,$37.8125
04/15/2021,$39.11,31427120,$40.75,$41.5637,$38.2
04/14/2021,$41.6325,84552560,$35.8925,$43.5225,$35.75
04/13/2021,$35.2475,27227472,$35.47,$36.3443,$33
04/12/2021,$35.2725,66734400,$39.5275,$40.975,$33.7525
04/09/2021,$39.59,37849520,$42.425,$42.895,$38.25
04/08/2021,$42.565,40189560,$46.47,$46.47,$41.075
04/07/2021,$44.4925,19073044,$45.805,$46.125,$44.0275
04/06/2021,$46.125,24873272,$46.3025,$48,$45.89
04/05/2021,$46.7375,56281960,$42.751,$48.75,$41.2025
04/01/2021,$47.8625,37337380,$48.34,$49.2422,$45.9
03/31/2021,$47.455,33575336,$49.375,$49.865,$46.7775
03/30/2021,$48.615,68379680,$46.875,$51.075,$45.5
03/29/2021,$45.325,40168720,$45.1875,$48.48,$43.3775
03/26/2021,$45.25,149722680,$49.42,$54.7336,$40.815
03/25/2021,$45.9375,203849360,$30.8725,$46.875,$29.225
03/24/2021,$30.085,96711520,$39.495,$41.7425,$29.655
03/23/2021,$45.4375,57716600,$49.375,$50.4375,$44.3875
03/22/2021,$48.6225,40246040,$51.315,$52.5891,$46.5488
03/19/2021,$50.0675,98709200,$48.9325,$56.75,$45.665
03/18/2021,$50.4375,47199640,$53.5,$54.72,$48.9125
03/17/2021,$52.4525,65926360,$54.46,$57.8675,$51
03/16/2021,$52.0425,141691480,$50.79,$55.175,$43.0875
03/15/2021,$55.035,96904760,$69.38,$70.75,$51.5
03/12/2021,$66.125,103383600,$68.7493,$73.875,$65.5675
03/11/2021,$65,113249960,$60.41,$70.375,$58.15
03/10/2021,$66.25,286282280,$67.3575,$87.125,$43
03/09/2021,$61.725,156397320,$54.4275,$62.4625,$52.1275
03/08/2021,$48.625,254262480,$38.7225,$52.7175,$36.525
03/05/2021,$34.435,122934680,$32.0425,$37.8825,$31.875
03/04/2021,$33.0875,130427560,$31.25,$36.9675,$28.825
03/03/2021,$31.045,77095520,$30.6275,$31.9375,$28.28
03/02/2021,$29.545,135132160,$29.2325,$33.3,$28.05
03/01/2021,$30.1,199175880,$26.135,$33.4975,$24.9925
02/26/2021,$25.435,368776600,$29.365,$35.725,$21.5
02/25/2021,$27.1825,601235200,$42.39,$46.17,$25.25
02/24/2021,$22.9275,332446960,$11.175,$22.9275,$11.175
02/23/2021,$11.2425,30260860,$11.2425,$11.5575,$10
02/22/2021,$11.5,77904080,$11.6725,$12.1275,$10.6
02/19/2021,$10.1475,59312960,$10.32,$10.9725,$9.625
